key,description,attached to,status,suggested key
formal-science.mathematics.operations-research.linear-programming,Study of optimization with linear constraints.,Mathematics|0,valid,
formal-science.mathematics.operations-research.mathematical-optimization,Study of mathematical methods for optimization.,Mathematics|0,valid,
formal-science.mathematics.operations-research.optimal-maintenance,Study of maintenance scheduling and reliability optimization.,Mathematics|0,valid,
formal-science.mathematics.operations-research.real-options-analysis,Study of real options valuation and decision making.,Mathematics|0,valid,
formal-science.mathematics.operations-research.scheduling,Study of scheduling problems and algorithms.,Mathematics|0,valid,
formal-science.mathematics.operations-research.stochastic-processes,Study of stochastic processes in operations research.,Mathematics|0,valid,
formal-science.mathematics.operations-research.systems-analysis,Study of analyzing complex systems for decision making.,Mathematics|0,valid,
formal-science.mathematics.statistics,Study of data collection analysis and inference.,Mathematics|0;key:formal-science.mathematics.statistics|1,valid,
formal-science.mathematics.statistics.data-visualization,Study of visual representation of data.,Mathematics|0,valid,
formal-science.mathematics.computational-mathematics,Study of computation to solve mathematical problems.,Mathematics|0,valid,
formal-science.mathematics.steganography,Study of hiding information within other data.,Mathematics|0,valid,
formal-science.mathematics.mathematical-game,Study of games with mathematical structure.,Mathematics|0,valid,
formal-science.mathematics.mathematical-puzzle,Study of puzzles and problem solving in mathematics.,Mathematics|0,valid,
formal-science.mathematics.actuarial-science,Study of risk assessment and insurance mathematics.,Mathematics|0,valid,
formal-science.mathematics.demography,Study of population statistics and dynamics.,Mathematics|0,valid,
formal-science.mathematics.computational-statistics,Study of statistical methods using computation.,Mathematics|0,valid,
formal-science.mathematics.computational-statistics.data-mining,Study of extracting patterns from large data sets.,Mathematics|0;Statistics|1,valid,
formal-science.mathematics.computational-statistics.regression,Study of modeling relationships between variables.,Mathematics|0,valid,
formal-science.mathematics.computational-statistics.simulation,Study of simulated data for statistical analysis.,Mathematics|0,valid,
formal-science.mathematics.computational-statistics.simulation.bootstrap-statistics,Study of bootstrap resampling methods.,Mathematics|0,valid,
formal-science.mathematics.design-of-experiments,Study of designing experiments for inference.,Mathematics|0,valid,
formal-science.mathematics.design-of-experiments.block-design-and-analysis-of-variance,Study of block designs and analysis of variance.,Mathematics|0,valid,
formal-science.mathematics.design-of-experiments.response-surface-methodology,Study of response surfaces and optimization in experiments.,Mathematics|0,valid,
formal-science.mathematics.sample-survey,Study of sample surveys and survey design.,Mathematics|0,valid,
formal-science.mathematics.sample-survey.sampling-theory,Study of sampling methods and estimators.,Mathematics|0,valid,
formal-science.mathematics.statistical-modelling,Study of statistical models and inference.,Mathematics|0,valid,
formal-science.mathematics.statistical-modelling.biostatistics,Study of statistical methods in biology and medicine.,Biology|1,valid,
formal-science.mathematics.statistical-modelling.multivariate-analysis,Study of multivariate statistical techniques.,Mathematics|0,valid,
formal-science.mathematics.statistical-modelling.multivariate-analysis.structural-equation-model,Study of structural equation modeling.,Mathematics|0,valid,
formal-science.mathematics.statistical-modelling.multivariate-analysis.time-series,Study of time series data and models.,Mathematics|0,valid,
formal-science.mathematics.statistical-modelling.reliability-theory,Study of reliability and failure modeling.,Mathematics|0,valid,
formal-science.mathematics.statistical-theory,Study of theoretical foundations of statistics.,Mathematics|0,valid,
formal-science.mathematics.statistical-theory.decision-theory,Study of statistical decision theory.,Mathematics|0,valid,
formal-science.mathematics.statistical-theory.mathematical-statistics,Study of statistical theory using mathematics.,Mathematics|0,valid,
formal-science.mathematics.statistical-theory.mathematical-statistics.probability,Study of probability theory as a foundation of statistics.,Mathematics|0,valid,
formal-science.mathematics.statistical-theory.survey-methodology,Study of methods for designing and analyzing surveys.,Mathematics|0,valid,
natural-science,Study of the natural world and physical phenomena.,,valid,
natural-science.physics,Study of matter energy and fundamental forces.,Mathematics|1,valid,
natural-science.physics.asteroid-impact-avoidance,Study of detecting and preventing asteroid impacts.,Astronomy|1,valid,
natural-science.physics.micro-g-environment-research,Study of physical processes in microgravity environments.,Physics|0,valid,
